"Model","Brand","ENERGY STAR Most Efficient 2020 - 2023","U-factor (W/m² - K)","Solar Heat Gain (SHGC)","Energy Rating","Style","Frame Material","Layers of Glazing","NRCan Reference","Energy Efficiency Verification Reference","Product Name","U-factor (Btu/h/ft² - °F)","Visible Transmittance","Air Leakage - Infiltration (l/s*m²)","Air Leakage - Exfiltration (l/s*m²)","Registration Date","Last Submitted","Delisting Date"
"OASW-FC-3,180(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","1","0.44","44","Fixed (picture)","Vinyl","3","NR6720-36222508-ES5","W410","5000 Fixed Casement","0.18","0.57","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,CL-3,180(5)-8AR90SS","Oasis Windows Ltd.","Y","1.13","0.46","42","Fixed (picture)","Vinyl","3","NR6720-36222509-ES5","W410","5000 Fixed Casement","0.2","0.58","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-19AR90SS","Oasis Windows Ltd.","Y","1.29","0.52","42","Fixed (picture)","Vinyl","2","NR6720-36222510-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-20AR90EN","Oasis Windows Ltd.","Y","1.3","0.52","42","Fixed (picture)","Vinyl","2","NR6720-36222511-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,270(2)-3,180(4)-3,I89(6)-8AR90SS","Oasis Windows Ltd.","Y","0.99","0.27","34","Fixed (picture)","Vinyl","3","NR6720-36222512-ES5","W410","5000 Fixed Casement","0.17","0.5","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-4,180(2)-4,180(4)-4,I89(6)-6AR90SS","Oasis Windows Ltd.","Y","1.1","0.43","41","Fixed (picture)","Vinyl","3","NR6720-36222516-ES5","W410","5000 Fixed Casement","0.19","0.56","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-4,180(2)-4,I89(4)-18AR90SS","Oasis Windows Ltd.","Y","1.29","0.51","41","Fixed (picture)","Vinyl","2","NR6720-36222518-ES5","W410","5000 Fixed Casement","0.23","0.64","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-5,180(2)-5,I89(4)-16AR90SS","Oasis Windows Ltd.","Y","1.28","0.5","41","Fixed (picture)","Vinyl","2","NR6720-36222521-ES5","W410","5000 Fixed Casement","0.23","0.63","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-6,180(2)-6,I89(4)-13AR90SS","Oasis Windows Ltd.","Y","1.27","0.48","40","Fixed (picture)","Vinyl","2","NR6720-36222523-ES5","W410","5000 Fixed Casement","0.22","0.62","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-PC-3,180(2)-3,180(4)-3,I89(6)-6AR90SS","Oasis Windows Ltd.","Y","1.15","0.44","40","Fixed (picture)","Vinyl","3","NR6720-36222528-ES5","W410","300 Series Picture","0.2","0.56","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-FC-3,180(2)-3,I89(4)-13AR90EN","Oasis Windows Ltd.","Y","1.27","0.52","42","Fixed Casement","Vinyl","2","NR6720-36222473-ES5","W410","5000 Fixed Casement Window","0.22","0.64","0","0","2021-01-18","2021-01-18","2025-11-01"
"OASW-FC-3,270(2)-3,180(4)-3,I89(6)-8AR90EN","Oasis Windows Ltd.","Y","0.99","0.27","34","Fixed Casement","Vinyl","3","NR6720-36222474-ES5","W410","5000 Fixed Casement Window","0.17","0.5","0","0","2021-01-18","2021-01-18","2026-01-01"
"OASW-EVERG-FC-3,270(2)-3,CL-3,180(5)-13AR90EN","Oasis Windows Ltd.","Y","0.89","0.25","35","Fixed Casement","Vinyl","3","NR6720-37075312-ES5","W410-1","Evergreen Fixed Casement Window","0.16","0.46","0.2","0.2","2021-08-13","2021-08-13","2026-08-13"
